path,label,score
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_315.mp4,barbequing,0.091675594
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_766.mp4,eating ice cream,0.07650977
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_776.mp4,barbequing,0.148876
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1264.mp4,ski jumping,0.140654
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_193.mp4,making a sandwich,0.25172114
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1527.mp4,feeding birds,0.14043987
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_45.mp4,making pizza,0.1688255
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_662.mp4,eating doughnuts,0.17165178
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_206.mp4,making pizza,0.20376424
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1553.mp4,making a sandwich,0.20526789
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_320.mp4,catching or throwing frisbee,0.12716953
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1198.mp4,making pizza,0.25312823
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_156.mp4,making pizza,0.21300024
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_507.mp4,barbequing,0.2055668
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1207.mp4,making pizza,0.26119882
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_448.mp4,surfing water,0.26927367
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_230.mp4,making pizza,0.21608417
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_627.mp4,eating ice cream,0.08306047
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_464.mp4,making pizza,0.22036001
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_827.mp4,making pizza,0.15484476
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_47.mp4,grooming dog,0.13836795
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_318.mp4,tasting food,0.12592088
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1031.mp4,riding elephant,0.08792468
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_677.mp4,catching or throwing frisbee,0.09627676
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1177.mp4,making pizza,0.22120377
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_353.mp4,jogging,0.056317285
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1549.mp4,barbequing,0.11940707
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1559.mp4,barbequing,0.19603454
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_885.mp4,skateboarding,0.20557263
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_891.mp4,making pizza,0.6532146
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_389.mp4,barbequing,0.1735729
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_44.mp4,barbequing,0.27098268
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_723.mp4,making pizza,0.23324828
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_986.mp4,making pizza,0.45681617
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_796.mp4,barbequing,0.18528418
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1563.mp4,making a sandwich,0.18776248
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_223.mp4,making pizza,0.19465624
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_222.mp4,dunking basketball,0.13546526
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_539.mp4,making pizza,0.25274387
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_129.mp4,barbequing,0.19754647
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1036.mp4,making a sandwich,0.061636746
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_225.mp4,headbutting,0.11956059
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_92.mp4,petting animal (not cat),0.16991603
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_268.mp4,barbequing,0.11700698
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1062.mp4,carving pumpkin,0.11121248
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1568.mp4,jetskiing,0.19971971
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1523.mp4,reading newspaper,0.070678666
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1369.mp4,making pizza,0.21179615
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1497.mp4,spray painting,0.1548155
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_152.mp4,barbequing,0.2148442
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1376.mp4,catching or throwing frisbee,0.17226493
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1051.mp4,barbequing,0.3389011
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_847.mp4,reading newspaper,0.12403417
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_82.mp4,eating hotdog,0.16486102
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1411.mp4,barbequing,0.23381722
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_544.mp4,hitting baseball,0.18428448
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_218.mp4,making pizza,0.21719937
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_457.mp4,reading newspaper,0.09856737
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1058.mp4,making a sandwich,0.17046535
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_518.mp4,catching or throwing baseball,0.12746604
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_105.mp4,parkour,0.041057248
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_215.mp4,making pizza,0.08141407
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1365.mp4,making pizza,0.3680545
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_911.mp4,catching or throwing frisbee,0.09497087
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_913.mp4,kitesurfing,0.11465497
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_295.mp4,making pizza,0.1666486
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_917.mp4,dining,0.1533784
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1366.mp4,carving pumpkin,0.1477986
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1078.mp4,flying kite,0.07727581
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1500.mp4,eating chips,0.057834312
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_609.mp4,making pizza,0.24662411
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_58.mp4,cleaning pool,0.11550799
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_692.mp4,barbequing,0.1348352
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1136.mp4,opening bottle,0.22455028
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_850.mp4,eating doughnuts,0.17083046
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1191.mp4,opening bottle,0.12836087
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_321.mp4,making a sandwich,0.13187782
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1551.mp4,catching or throwing baseball,0.12285846
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_728.mp4,barbequing,0.03970153
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_411.mp4,barbequing,0.210251
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_396.mp4,making pizza,0.43402597
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_187.mp4,making pizza,0.18033747
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_488.mp4,surfing water,0.107767865
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_341.mp4,barbequing,0.12454286
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_572.mp4,making a sandwich,0.17352735
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1188.mp4,barbequing,0.15947303
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_237.mp4,playing tennis,0.2329775
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_908.mp4,barbequing,0.1380217
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_706.mp4,barbequing,0.19957316
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_208.mp4,making pizza,0.2354893
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_33.mp4,parkour,0.14302754
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1436.mp4,making a sandwich,0.3504861
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_893.mp4,opening bottle,0.17701368
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_368.mp4,barbequing,0.18677187
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_3.mp4,barbequing,0.2213876
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_967.mp4,opening bottle,0.11766582
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_759.mp4,opening bottle,0.07424669
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1557.mp4,flying kite,0.072040655
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_940.mp4,making pizza,0.19390094
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_714.mp4,making pizza,0.23915511
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_398.mp4,making pizza,0.24979407
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1482.mp4,opening bottle,0.12890486
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_740.mp4,eating burger,0.2383376
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_224.mp4,making pizza,0.22497934
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1522.mp4,making a sandwich,0.278564
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_942.mp4,eating burger,0.07919355
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_258.mp4,making a cake,0.087957084
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_826.mp4,jumping into pool,0.20015226
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_814.mp4,making pizza,0.48301458
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1032.mp4,making a sandwich,0.06833342
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_290.mp4,making a sandwich,0.08638545
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1274.mp4,surfing water,0.13980934
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_836.mp4,making pizza,0.22284296
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_171.mp4,barbequing,0.19234459
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1070.mp4,making pizza,0.2663301
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_875.mp4,making pizza,0.08933006
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1379.mp4,catching or throwing frisbee,0.09898807
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_901.mp4,making pizza,0.21800533
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1133.mp4,barbequing,0.2587433
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1268.mp4,carving pumpkin,0.099328935
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_921.mp4,walking the dog,0.116094634
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1312.mp4,making pizza,0.21899633
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_249.mp4,barbequing,0.14266337
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_560.mp4,barbequing,0.13955176
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_899.mp4,making pizza,0.22453752
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_818.mp4,making pizza,0.10742902
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1537.mp4,opening bottle,0.106147826
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_610.mp4,barbequing,0.19152108
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1237.mp4,making a sandwich,0.18865526
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1407.mp4,barbequing,0.10453694
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_392.mp4,making pizza,0.22881079
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_494.mp4,making a sandwich,0.19487312
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_27.mp4,riding unicycle,0.16136615
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_737.mp4,barbequing,0.08428654
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_377.mp4,riding scooter,0.091827534
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_702.mp4,making a sandwich,0.09467517
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_656.mp4,making a sandwich,0.09552189
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1297.mp4,grooming dog,0.17277901
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1420.mp4,milking cow,0.1128999
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1393.mp4,making pizza,0.34009933
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_304.mp4,playing tennis,0.20917605
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1566.mp4,playing tennis,0.065650314
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1084.mp4,petting cat,0.15783936
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_296.mp4,barbequing,0.24855587
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_331.mp4,making pizza,0.2066561
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1301.mp4,riding elephant,0.24860427
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_1060.mp4,hula hooping,0.16646892
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_551.mp4,making pizza,0.22586173
/kaggle/input/hhhhhhhhhhh/kaggle/temp/videos/video_583.mp4,making pizza,0.11403825
